API_Name,sYear,ProductSaleGroup,Vet,AmountSold_g,InChIKey_string,PEC_gL,Desc_Short,Desc_Long,B_Statement,P_Statement,PNEC_gL,RQ
13C-urea,2016,Prescription,Human,83.45,XSQUKJJJFZCRTK-OUBTZVSYSA-N,2.3961423188868128e-11,diagnostic agent,labelled urea used to detect H. pylori infection,NA,NA,NA,NA
13C-urea,2017,Prescription,Human,88.4,XSQUKJJJFZCRTK-OUBTZVSYSA-N,2.5731174223660045e-11,diagnostic agent,labelled urea used to detect H. pylori infection,NA,NA,NA,NA
13C-urea,2018,Prescription,Human,186,XSQUKJJJFZCRTK-OUBTZVSYSA-N,5.28727573913674e-11,diagnostic agent,labelled urea used to detect H. pylori infection,NA,NA,NA,NA
13C-urea,2019,Prescription,Human,204.6,XSQUKJJJFZCRTK-OUBTZVSYSA-N,5.910323687535979e-11,diagnostic agent,labelled urea used to detect H. pylori infection,NA,NA,NA,NA
4-aminosalicylic acid,2016,Prescription,Human,12390799.08,WUBBRNOQWQTFEX-UHFFFAOYSA-N,3.557833198371694e-6,antibacterial,antibacterial for tuberculosis,NA,NA,NA,NA
4-aminosalicylic acid,2017,Prescription,Human,13384234.35,WUBBRNOQWQTFEX-UHFFFAOYSA-N,3.895837849662278e-6,antibacterial,antibacterial for tuberculosis,NA,NA,NA,NA
4-aminosalicylic acid,2018,Prescription,Human,14345104.08,WUBBRNOQWQTFEX-UHFFFAOYSA-N,4.07776993427825e-6,antibacterial,antibacterial for tuberculosis,NA,NA,NA,NA
4-aminosalicylic acid,2019,Prescription,Human,15501228.04,WUBBRNOQWQTFEX-UHFFFAOYSA-N,4.477872691628001e-6,antibacterial,antibacterial for tuberculosis,NA,NA,NA,NA
abacavir,2016,Prescription,Human,221508,MCGSCOLBFJQGHM-SCZZXKLOSA-N,6.36027193255818e-8,antiviral,oral HIV reverse-transcriptase inhibitor,low,moderate,5.6e-4,1.135762845099675e-4
abacavir,2017,Prescription,Human,252378,MCGSCOLBFJQGHM-SCZZXKLOSA-N,7.346133810202347e-8,antiviral,oral HIV reverse-transcriptase inhibitor,low,moderate,5.6e-4,1.311809608964705e-4
abacavir,2018,Prescription,Human,264834,MCGSCOLBFJQGHM-SCZZXKLOSA-N,7.52822786612118e-8,antiviral,oral HIV reverse-transcriptase inhibitor,low,moderate,5.6e-4,1.3443264046644965e-4
abacavir,2019,Prescription,Human,248130,MCGSCOLBFJQGHM-SCZZXKLOSA-N,7.167784049796199e-8,antiviral,oral HIV reverse-transcriptase inhibitor,low,moderate,5.6e-4,1.2799614374636072e-4
abiraterone,2016,Prescription,Human,107280,GZOSMCIZMLWJML-VJLLXTKPSA-N,3.0803852363112915e-8,antineoplastic,androgen-supressing prostate cancer treatment,high,low,1.3e-9,23.695271048548395
abiraterone,2017,Prescription,Human,81902,GZOSMCIZMLWJML-VJLLXTKPSA-N,2.3839758272242136e-8,antineoplastic,androgen-supressing prostate cancer treatment,high,low,1.3e-9,18.33827559403241
abiraterone,2018,Prescription,Human,76356,GZOSMCIZMLWJML-VJLLXTKPSA-N,2.1705119695565857e-8,antineoplastic,androgen-supressing prostate cancer treatment,high,low,1.3e-9,16.696245919666044
abiraterone,2019,Prescription,Human,71596,GZOSMCIZMLWJML-VJLLXTKPSA-N,2.0682088696619058e-8,antineoplastic,androgen-supressing prostate cancer treatment,high,low,1.3e-9,15.909298997399274
acamprosate,2016,Prescription,Human,72615.87144,AFCGFAGUEYAMAO-UHFFFAOYSA-N,2.0850564719020765e-8,other nervous system,treatment for alcohol withdrawal,NA,NA,NA,NA
acamprosate,2017,Prescription,Human,72869.8572,AFCGFAGUEYAMAO-UHFFFAOYSA-N,2.12107125708872e-8,other nervous system,treatment for alcohol withdrawal,NA,NA,NA,NA
acamprosate,2018,Prescription,Human,74400.48504,AFCGFAGUEYAMAO-UHFFFAOYSA-N,2.114924083505365e-8,other nervous system,treatment for alcohol withdrawal,NA,NA,NA,NA
acamprosate,2019,Prescription,Human,60915.18384,AFCGFAGUEYAMAO-UHFFFAOYSA-N,1.7596698630506396e-8,other nervous system,treatment for alcohol withdrawal,NA,NA,NA,NA
acarbose,2016,Prescription,Human,24421.5,XUFXOAAUWZOOIT-UGEKTDRHSA-N,7.012269579472055e-9,anti-diabetic,starch enzyme-inhibiting type 2 diabetes drug,NA,NA,NA,NA
acarbose,2017,Prescription,Human,23097,XUFXOAAUWZOOIT-UGEKTDRHSA-N,6.722996957509911e-9,anti-diabetic,starch enzyme-inhibiting type 2 diabetes drug,NA,NA,NA,NA
acarbose,2018,Prescription,Human,19867.5,XUFXOAAUWZOOIT-UGEKTDRHSA-N,5.647577997166622e-9,anti-diabetic,starch enzyme-inhibiting type 2 diabetes drug,NA,NA,NA,NA
acarbose,2019,Prescription,Human,11034.06,XUFXOAAUWZOOIT-UGEKTDRHSA-N,3.187432364989894e-9,anti-diabetic,starch enzyme-inhibiting type 2 diabetes drug,NA,NA,NA,NA
acetazolamide,2016,Prescription,Human,124689.75,BZKPWHYZMXOIDC-UHFFFAOYSA-N,3.580280248129622e-8,ophthalmological,"reduces body fluid pressure, wide applications",NA,NA,NA,NA
acetazolamide,2017,Prescription,Human,156871,BZKPWHYZMXOIDC-UHFFFAOYSA-N,4.56614822583685e-8,ophthalmological,"reduces body fluid pressure, wide applications",NA,NA,NA,NA
acetazolamide,2018,Prescription,Human,159839,BZKPWHYZMXOIDC-UHFFFAOYSA-N,4.5436175638057925e-8,ophthalmological,"reduces body fluid pressure, wide applications",NA,NA,NA,NA
acetazolamide,2019,Prescription,Human,181725.25,BZKPWHYZMXOIDC-UHFFFAOYSA-N,5.2495359222795586e-8,ophthalmological,"reduces body fluid pressure, wide applications",NA,NA,NA,NA
acetic acid,2016,OTC,Human,7512.5,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.157102357176414e-9,antibiotic,"acid used as an topical antiseptic, other diverse applications",NA,NA,NA,NA
acetic acid,2017,OTC,Human,7935,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.309693070868127e-9,antibiotic,"acid used as an topical antiseptic, other diverse applications",NA,NA,NA,NA
acetic acid,2018,OTC,Human,8785,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.4972428692643144e-9,antibiotic,"acid used as an topical antiseptic, other diverse applications",NA,NA,NA,NA
acetic acid,2019,OTC,Human,8982.5,QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.594793867218569e-9,antibiotic,"acid used as an topical antiseptic, other diverse applications",NA,NA,NA,NA
acetylsalicylic acid,2016,OTC,Human,1037340,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.978567133701673e-7,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.010524972203892837
acetylsalicylic acid,2016,Prescription,Human,9996951.32,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.8704755084126283e-6,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.10143022997924482
acetylsalicylic acid,2017,OTC,Human,874785,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.5462947107742594e-7,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.008997507811923178
acetylsalicylic acid,2017,Prescription,Human,9322959.785,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.7136957297286334e-6,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.09589030847097645
acetylsalicylic acid,2018,OTC,Human,828605,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.3554102762512895e-7,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.00832300450972187
acetylsalicylic acid,2018,Prescription,Human,9515922.04,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.705016329978956e-6,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.09558361590031647
acetylsalicylic acid,2019,OTC,Human,1137295,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,3.285328239597376e-7,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.01160893370882465
acetylsalicylic acid,2019,Prescription,Human,9001627.415,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.6003192442447585e-6,analgesic,"aka aspirin, analgesic, anti-inflammatory and antiplatet agent for fevers, pain and heart conditions",low,low,2.83e-5,0.09188407223479712
