API_Name,API_LM_Coeff,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,0.436568238731158,7.8e-8,Low,2020,0-0.25,5.5,2000,970,0.00754,0.00719,0.00072,22429.93117,0,0,0,0,0,0.00422,0.65334,0.34244,0
amoxicillin,0.436568238731158,7.8e-8,Low,2020,0.25-0.5,5.5,2000,970,0.00754,0.00609,0.00061,18917.34993,0,0,0,0,0,0.0178,0.70936,0.27284,0
amoxicillin,0.436568238731158,7.8e-8,Low,2020,0.5-0.75,5.5,2000,970,0.00754,0.00361,0.00036,11009.71705,0,0,0,0,0,0.05835,0.82451,0.11714,0
amoxicillin,0.436568238731158,7.8e-8,Low,2020,0.75-1,5.5,2000,970,0.00754,0.00118,0.00012,3509.83157,0,0,0,0.0011,0.05614,0.45716,0.47379,0.01181,0
amoxicillin,0.436568238731158,7.8e-8,Low,2030,0-0.25,5.5,2000,970,0.00754,0.00719,0.00072,22429.93117,0,0,0,0,0,0.00422,0.65334,0.34244,0
amoxicillin,0.436568238731158,7.8e-8,Low,2030,0.25-0.5,5.5,2000,970,0.00754,0.00609,0.00061,18917.34993,0,0,0,0,0,0.0178,0.70936,0.27284,0
amoxicillin,0.436568238731158,7.8e-8,Low,2030,0.5-0.75,5.5,2000,970,0.00754,0.00361,0.00036,11009.71705,0,0,0,0,0,0.05835,0.82451,0.11714,0
amoxicillin,0.436568238731158,7.8e-8,Low,2030,0.75-1,5.5,2000,970,0.00754,0.00118,0.00012,3509.83157,0,0,0,0.0011,0.05614,0.45716,0.47379,0.01181,0
amoxicillin,0.436568238731158,7.8e-8,Low,2040,0-0.25,5.5,2000,970,0.00754,0.00719,0.00072,22429.93117,0,0,0,0,0,0.00422,0.65334,0.34244,0
amoxicillin,0.436568238731158,7.8e-8,Low,2040,0.25-0.5,5.5,2000,970,0.00754,0.00609,0.00061,18917.34993,0,0,0,0,0,0.0178,0.70936,0.27284,0
amoxicillin,0.436568238731158,7.8e-8,Low,2040,0.5-0.75,5.5,2000,970,0.00754,0.00361,0.00036,11009.71705,0,0,0,0,0,0.05835,0.82451,0.11714,0
amoxicillin,0.436568238731158,7.8e-8,Low,2040,0.75-1,5.5,2000,970,0.00754,0.00118,0.00012,3509.83157,0,0,0,0.0011,0.05614,0.45716,0.47379,0.01181,0
amoxicillin,0.436568238731158,7.8e-8,Low,2050,0-0.25,5.5,2000,970,0.00754,0.00719,0.00072,22429.93117,0,0,0,0,0,0.00422,0.65334,0.34244,0
amoxicillin,0.436568238731158,7.8e-8,Low,2050,0.25-0.5,5.5,2000,970,0.00754,0.00609,0.00061,18917.34993,0,0,0,0,0,0.0178,0.70936,0.27284,0
amoxicillin,0.436568238731158,7.8e-8,Low,2050,0.5-0.75,5.5,2000,970,0.00754,0.00361,0.00036,11009.71705,0,0,0,0,0,0.05835,0.82451,0.11714,0
amoxicillin,0.436568238731158,7.8e-8,Low,2050,0.75-1,5.5,2000,970,0.00754,0.00118,0.00012,3509.83157,0,0,0,0.0011,0.05614,0.45716,0.47379,0.01181,0
amoxicillin,0.436568238731158,7.8e-8,Low,2060,0-0.25,5.5,2000,970,0.00754,0.00719,0.00072,22429.93117,0,0,0,0,0,0.00422,0.65334,0.34244,0
amoxicillin,0.436568238731158,7.8e-8,Low,2060,0.25-0.5,5.5,2000,970,0.00754,0.00609,0.00061,18917.34993,0,0,0,0,0,0.0178,0.70936,0.27284,0
amoxicillin,0.436568238731158,7.8e-8,Low,2060,0.5-0.75,5.5,2000,970,0.00754,0.00361,0.00036,11009.71705,0,0,0,0,0,0.05835,0.82451,0.11714,0
amoxicillin,0.436568238731158,7.8e-8,Low,2060,0.75-1,5.5,2000,970,0.00754,0.00118,0.00012,3509.83157,0,0,0,0.0011,0.05614,0.45716,0.47379,0.01181,0
amoxicillin,0.436568238731158,7.8e-8,Low,2070,0-0.25,4.5,2000,750,0.00901,0.00859,0.00086,26281.04799,0,0,0,0,0,0.00024,0.57992,0.41984,0
amoxicillin,0.436568238731158,7.8e-8,Low,2070,0.25-0.5,4.5,2000,750,0.00901,0.00725,0.00072,22184.40936,0,0,0,0,0,0.00101,0.66183,0.33716,0
amoxicillin,0.436568238731158,7.8e-8,Low,2070,0.5-0.75,4.5,2000,750,0.00901,0.00427,0.00043,13027.83353,0,0,0,0,0,0.0141,0.83242,0.15349,0
amoxicillin,0.436568238731158,7.8e-8,Low,2070,0.75-1,4.5,2000,750,0.00901,0.00142,0.00014,4263.09965,0,0,0,0.00006,0.04467,0.41154,0.52265,0.02109,0
amoxicillin,0.436568238731158,7.8e-8,Low,2080,0-0.25,6.5,4250,1170,0.0118,0.01124,0.00112,32966.68033,0,0,0,0,0,0.00012,0.44499,0.55489,0
amoxicillin,0.436568238731158,7.8e-8,Low,2080,0.25-0.5,6.5,4250,1170,0.0118,0.00943,0.00094,27882.80876,0,0,0,0,0,0.00051,0.54726,0.45223,0
amoxicillin,0.436568238731158,7.8e-8,Low,2080,0.5-0.75,6.5,4250,1170,0.0118,0.00547,0.00055,16710.60869,0,0,0,0,0,0.00988,0.76266,0.22746,0
amoxicillin,0.436568238731158,7.8e-8,Low,2080,0.75-1,6.5,4250,1170,0.0118,0.00188,0.00019,5782.11811,0,0,0,0.00003,0.03651,0.34631,0.5728,0.04435,0
amoxicillin,0.436568238731158,7.8e-8,Low,2090,0-0.25,4.5,2000,750,0.00901,0.00859,0.00086,26281.04799,0,0,0,0,0,0.00024,0.57992,0.41984,0
amoxicillin,0.436568238731158,7.8e-8,Low,2090,0.25-0.5,4.5,2000,750,0.00901,0.00725,0.00072,22184.40936,0,0,0,0,0,0.00101,0.66183,0.33716,0
amoxicillin,0.436568238731158,7.8e-8,Low,2090,0.5-0.75,4.5,2000,750,0.00901,0.00427,0.00043,13027.83353,0,0,0,0,0,0.0141,0.83242,0.15349,0
amoxicillin,0.436568238731158,7.8e-8,Low,2090,0.75-1,4.5,2000,750,0.00901,0.00142,0.00014,4263.09965,0,0,0,0.00006,0.04467,0.41154,0.52265,0.02109,0
amoxicillin,0.436568238731158,7.8e-8,Low,2100,0-0.25,4.5,2000,750,0.00901,0.00859,0.00086,26281.04799,0,0,0,0,0,0.00024,0.57992,0.41984,0
amoxicillin,0.436568238731158,7.8e-8,Low,2100,0.25-0.5,4.5,2000,750,0.00901,0.00725,0.00072,22184.40936,0,0,0,0,0,0.00101,0.66183,0.33716,0
amoxicillin,0.436568238731158,7.8e-8,Low,2100,0.5-0.75,4.5,2000,750,0.00901,0.00427,0.00043,13027.83353,0,0,0,0,0,0.0141,0.83242,0.15349,0
amoxicillin,0.436568238731158,7.8e-8,Low,2100,0.75-1,4.5,2000,750,0.00901,0.00142,0.00014,4263.09965,0,0,0,0.00006,0.04467,0.41154,0.52265,0.02109,0
amoxicillin,0.436568238731158,7.8e-8,Main,2020,0-0.25,5.5,2000,970,0.00754,0.00719,0.00072,22429.93117,0,0,0,0,0,0.00422,0.65334,0.34244,0
amoxicillin,0.436568238731158,7.8e-8,Main,2020,0.25-0.5,5.5,2000,970,0.00754,0.00609,0.00061,18917.34993,0,0,0,0,0,0.0178,0.70936,0.27284,0
amoxicillin,0.436568238731158,7.8e-8,Main,2020,0.5-0.75,5.5,2000,970,0.00754,0.00361,0.00036,11009.71705,0,0,0,0,0,0.05835,0.82451,0.11714,0
amoxicillin,0.436568238731158,7.8e-8,Main,2020,0.75-1,5.5,2000,970,0.00754,0.00118,0.00012,3509.83157,0,0,0,0.0011,0.05614,0.45716,0.47379,0.01181,0
amoxicillin,0.436568238731158,7.8e-8,Main,2030,0-0.25,5.5,2000,970,0.00754,0.00719,0.00072,22429.93117,0,0,0,0,0,0.00422,0.65334,0.34244,0
amoxicillin,0.436568238731158,7.8e-8,Main,2030,0.25-0.5,5.5,2000,970,0.00754,0.00609,0.00061,18917.34993,0,0,0,0,0,0.0178,0.70936,0.27284,0
amoxicillin,0.436568238731158,7.8e-8,Main,2030,0.5-0.75,5.5,2000,970,0.00754,0.00361,0.00036,11009.71705,0,0,0,0,0,0.05835,0.82451,0.11714,0
amoxicillin,0.436568238731158,7.8e-8,Main,2030,0.75-1,5.5,2000,970,0.00754,0.00118,0.00012,3509.83157,0,0,0,0.0011,0.05614,0.45716,0.47379,0.01181,0
amoxicillin,0.436568238731158,7.8e-8,Main,2040,0-0.25,6.5,2540,1250,0.00702,0.0067,0.00067,20868.54637,0,0,0,0,0,0.00817,0.68053,0.31129,0
amoxicillin,0.436568238731158,7.8e-8,Main,2040,0.25-0.5,6.5,2540,1250,0.00702,0.00567,0.00057,17601.95797,0,0,0,0,0,0.03447,0.71759,0.24793,0
amoxicillin,0.436568238731158,7.8e-8,Main,2040,0.5-0.75,6.5,2540,1250,0.00702,0.00336,0.00034,10253.22253,0,0,0,0,0,0.10129,0.79256,0.10615,0
amoxicillin,0.436568238731158,7.8e-8,Main,2040,0.75-1,6.5,2540,1250,0.00702,0.0011,0.00011,3277.18829,0,0,0,0.00213,0.06485,0.48046,0.44205,0.01051,0
