API_Name,API_LM_Coeff,API_LM_Interc,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2020,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0 - 0.001,5.5,40960,1000,0.34725,0.3454,0.03456,84405.05344,0,0,0,0,0,0,0.0249,0.29426,0.68084
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0.001 - 0.9,5.5,40960,1000,0.34725,0.2935,0.02938,80448.81043,0,0,0,0,0,0,0.03122,0.36891,0.59987
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0.9 - 0.95,5.5,40960,1000,0.34725,0.04968,0.00502,60940.27325,0,0,0,0,0,0.01245,0.06374,0.70663,0.21718
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2030,0.95 - 0.99,5.5,40960,1000,0.34725,0.04363,0.00441,53642.93534,0,0,0,0,0,0.1046,0.08546,0.61953,0.19041
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2040,0 - 0.001,6.5,40960,1176,0.28313,0.2807,0.0281,79473.15159,0,0,0,0,0,0,0.03278,0.38732,0.57991
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2040,0.001 - 0.9,6.5,40960,1176,0.28313,0.24019,0.02405,76384.92331,0,0,0,0,0,0,0.03771,0.44559,0.5167
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2040,0.9 - 0.95,6.5,40960,1176,0.28313,0.04942,0.005,60628.41067,0,0,0,0,0,0.01639,0.06466,0.70291,0.21604
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2040,0.95 - 0.99,6.5,40960,1176,0.28313,0.04145,0.00419,51023.28964,0,0,0,0,0,0.13767,0.09326,0.58826,0.1808
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2050,0 - 0.001,6.5,40960,1176,0.28313,0.2807,0.0281,79473.15159,0,0,0,0,0,0,0.03278,0.38732,0.57991
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2050,0.001 - 0.9,6.5,40960,1176,0.28313,0.24019,0.02405,76384.92331,0,0,0,0,0,0,0.03771,0.44559,0.5167
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2050,0.9 - 0.95,6.5,40960,1176,0.28313,0.04942,0.005,60628.41067,0,0,0,0,0,0.01639,0.06466,0.70291,0.21604
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2050,0.95 - 0.99,6.5,40960,1176,0.28313,0.04145,0.00419,51023.28964,0,0,0,0,0,0.13767,0.09326,0.58826,0.1808
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2060,0 - 0.001,7.5,40960,1352,0.21841,0.21539,0.02158,74494.95224,0,0,0,0,0,0,0.04073,0.48125,0.47802
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2060,0.001 - 0.9,7.5,40960,1352,0.21841,0.18637,0.01868,72282.88705,0,0,0,0,0,0,0.04426,0.52299,0.43275
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2060,0.9 - 0.95,7.5,40960,1352,0.21841,0.04916,0.00497,60313.62052,0,0,0,0,0,0.02036,0.0656,0.69915,0.21488
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2060,0.95 - 0.99,7.5,40960,1352,0.21841,0.03926,0.00397,48379.0524,0,0,0,0,0,0.17106,0.10113,0.5567,0.1711
