Population_Scenario,Year,WWTP_Scenario,P(RQ_SW_API1=0-1),P(RQ_SW_API2=0-1),P(RQ_SW_API3=0-1),P(RQ_SW_API4=0-1),P(RQ_SW_API1=1-10),P(RQ_SW_API2=1-10),P(RQ_SW_API3=1-10),P(RQ_SW_API4=1-10),P(RQ_SW_API1=10-100),P(RQ_SW_API2=10-100),P(RQ_SW_API3=10-100),P(RQ_SW_API4=10-100),P(RQ_SW_API1=100-1000),P(RQ_SW_API2=100-1000),P(RQ_SW_API3=100-1000),P(RQ_SW_API4=100-1000),P(RQ_SW_API1=1000-10000),P(RQ_SW_API2=1000-10000),P(RQ_SW_API3=1000-10000),P(RQ_SW_API4=1000-10000),P(RQ_SW_API1=10000-inf),P(RQ_SW_API2=10000-inf),P(RQ_SW_API3=10000-inf),P(RQ_SW_API4=10000-inf),RQ_Threshhold,P(Sum_RQ=0-1),P(Sum_RQ=1-10),P(Sum_RQ=10-100),P(Sum_RQ=100-1000),P(Sum_RQ=1000-10000),P(Sum_RQ=10000-100000),P(Sum_RQ=100000-inf),P(Threshold_Exceedence=true)
Low,2010,High,0.16667,0.02392,0.02093,0.16667,0.16667,0.18014,0.16697,0.16667,0.16667,0.44155,0.43687,0.16667,0.16667,0.35438,0.37523,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,High,0.16667,0.02392,0.02093,0.16667,0.16667,0.18014,0.16697,0.16667,0.16667,0.44155,0.43687,0.16667,0.16667,0.35438,0.37523,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,High,0.16667,0.02392,0.02093,0.16667,0.16667,0.18014,0.16697,0.16667,0.16667,0.44155,0.43687,0.16667,0.16667,0.35438,0.37523,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,High,0.16667,0.02392,0.02093,0.16667,0.16667,0.18014,0.16697,0.16667,0.16667,0.44155,0.43687,0.16667,0.16667,0.35438,0.37523,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,High,0.16667,0.02392,0.02093,0.16667,0.16667,0.18014,0.16697,0.16667,0.16667,0.44155,0.43687,0.16667,0.16667,0.35438,0.37523,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Low,0.16667,0.00299,0.00262,0.16667,0.16667,0.08793,0.0781,0.16667,0.16667,0.40878,0.38954,0.16667,0.16667,0.50031,0.52974,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Low,0.16667,0.00299,0.00262,0.16667,0.16667,0.08793,0.0781,0.16667,0.16667,0.40878,0.38954,0.16667,0.16667,0.50031,0.52974,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Low,0.16667,0.00299,0.00262,0.16667,0.16667,0.08793,0.0781,0.16667,0.16667,0.40878,0.38954,0.16667,0.16667,0.50031,0.52974,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Low,0.16667,0.00299,0.00262,0.16667,0.16667,0.08793,0.0781,0.16667,0.16667,0.40878,0.38954,0.16667,0.16667,0.50031,0.52974,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Low,0.16667,0.00299,0.00262,0.16667,0.16667,0.08793,0.0781,0.16667,0.16667,0.40878,0.38954,0.16667,0.16667,0.50031,0.52974,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Medium,0.16667,0.00897,0.00785,0.16667,0.16667,0.11427,0.10349,0.16667,0.16667,0.41814,0.40307,0.16667,0.16667,0.45861,0.48559,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Medium,0.16667,0.00897,0.00785,0.16667,0.16667,0.11427,0.10349,0.16667,0.16667,0.41814,0.40307,0.16667,0.16667,0.45861,0.48559,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Medium,0.16667,0.00897,0.00785,0.16667,0.16667,0.11427,0.10349,0.16667,0.16667,0.41814,0.40307,0.16667,0.16667,0.45861,0.48559,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Medium,0.16667,0.00897,0.00785,0.16667,0.16667,0.11427,0.10349,0.16667,0.16667,0.41814,0.40307,0.16667,0.16667,0.45861,0.48559,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,Medium,0.16667,0.00897,0.00785,0.16667,0.16667,0.11427,0.10349,0.16667,0.16667,0.41814,0.40307,0.16667,0.16667,0.45861,0.48559,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
