scenario_number,API_low_ethinylestradiol,API_low_estradiol,API_medium_diclofenac,API_medium_ciprofloxacin,API_high_paracetamol,API_high_ibuprofen,P(API_RQ_FW_estradiol=-inf-0),P(API_RQ_FW_estradiol=0-1),P(API_RQ_FW_estradiol=1-3),P(API_RQ_FW_estradiol=3-10),P(API_RQ_FW_estradiol=10-30),P(API_RQ_FW_estradiol=30-100),P(API_RQ_FW_estradiol=100-300),P(API_RQ_FW_estradiol=300-1000),P(API_RQ_FW_estradiol=1000-3000),P(API_RQ_FW_estradiol=3000-inf),P(API_RQ_FW_ethinylestradiol=-inf-0),P(API_RQ_FW_ethinylestradiol=0-1),P(API_RQ_FW_ethinylestradiol=1-3),P(API_RQ_FW_ethinylestradiol=3-10),P(API_RQ_FW_ethinylestradiol=10-30),P(API_RQ_FW_ethinylestradiol=30-100),P(API_RQ_FW_ethinylestradiol=100-300),P(API_RQ_FW_ethinylestradiol=300-1000),P(API_RQ_FW_ethinylestradiol=1000-3000),P(API_RQ_FW_ethinylestradiol=3000-inf),P(API_RQ_FW_diclofenac=-inf-0),P(API_RQ_FW_diclofenac=0-1),P(API_RQ_FW_diclofenac=1-3),P(API_RQ_FW_diclofenac=3-10),P(API_RQ_FW_diclofenac=10-30),P(API_RQ_FW_diclofenac=30-100),P(API_RQ_FW_diclofenac=100-300),P(API_RQ_FW_diclofenac=300-1000),P(API_RQ_FW_diclofenac=1000-3000),P(API_RQ_FW_diclofenac=3000-inf),P(API_RQ_FW_ibuprofen=-inf-0),P(API_RQ_FW_ibuprofen=0-1),P(API_RQ_FW_ibuprofen=1-3),P(API_RQ_FW_ibuprofen=3-10),P(API_RQ_FW_ibuprofen=10-30),P(API_RQ_FW_ibuprofen=30-100),P(API_RQ_FW_ibuprofen=100-300),P(API_RQ_FW_ibuprofen=300-1000),P(API_RQ_FW_ibuprofen=1000-3000),P(API_RQ_FW_ibuprofen=3000-inf),P(API_RQ_FW_paracetamol=-inf-0),P(API_RQ_FW_paracetamol=0-1),P(API_RQ_FW_paracetamol=1-3),P(API_RQ_FW_paracetamol=3-10),P(API_RQ_FW_paracetamol=10-30),P(API_RQ_FW_paracetamol=30-100),P(API_RQ_FW_paracetamol=100-300),P(API_RQ_FW_paracetamol=300-1000),P(API_RQ_FW_paracetamol=1000-3000),P(API_RQ_FW_paracetamol=3000-inf),P(API_RQ_FW_ciprofloxacin=-inf-0),P(API_RQ_FW_ciprofloxacin=0-1),P(API_RQ_FW_ciprofloxacin=1-3),P(API_RQ_FW_ciprofloxacin=3-10),P(API_RQ_FW_ciprofloxacin=10-30),P(API_RQ_FW_ciprofloxacin=30-100),P(API_RQ_FW_ciprofloxacin=100-300),P(API_RQ_FW_ciprofloxacin=300-1000),P(API_RQ_FW_ciprofloxacin=1000-3000),P(API_RQ_FW_ciprofloxacin=3000-inf)
1,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.11633,0.13133,0.24588,0.28883,0.21763,0,0,0,0,0,0.00375,0.00375,0.0225,0.05999,0.13099,0.21198,0.34878,0.20918,0.00909,0,0.11152,0.10517,0.26094,0.41122,0.11116,0,0,0,0,0,0.02784,0.07424,0.17281,0.22783,0.33332,0.15331,0.01065,0,0,0,0.1743,0.27493,0.40408,0.14669,0,0,0,0,0,0,0.37198,0.40825,0.20242,0.01735,0,0,0,0,0
2,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.14951,0.158,0.26762,0.25629,0.16858,0,0,0,0,0,0.00492,0.00492,0.02954,0.07878,0.15763,0.25019,0.31031,0.15688,0.00682,0,0.14846,0.12408,0.33393,0.34806,0.04547,0,0,0,0,0,0.03455,0.09214,0.21068,0.24862,0.29454,0.11148,0.00799,0,0,0,0.24612,0.30484,0.34514,0.10391,0,0,0,0,0,0,0.44323,0.43092,0.11875,0.0071,0,0,0,0,0
3,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.44659,0.29211,0.21892,0.03912,0.00325,0,0,0,0,0,0.0156,0.0156,0.09362,0.24967,0.35561,0.23531,0.03459,0,0,0,0.29797,0.27626,0.42578,0,0,0,0,0,0,0,0.08988,0.23968,0.46194,0.17593,0.0314,0.00118,0,0,0,0,0.79985,0.18041,0.01975,0,0,0,0,0,0,0,0.5372,0.4628,0,0,0,0,0,0,0
4,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.66909,0.05923,0.10772,0.10791,0.05606,0,0,0,0,0,0.00375,0.00375,0.0225,0.05999,0.13099,0.21198,0.34878,0.20918,0.00909,0,0.06284,0.07188,0.18333,0.44963,0.21248,0.01984,0,0,0,0,0.00728,0.01942,0.05205,0.10698,0.25846,0.34475,0.21104,0,0,0,0.10474,0.10988,0.3961,0.33876,0.05052,0,0,0,0,0,0.24636,0.25592,0.4045,0.09321,0,0,0,0,0
5,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.68406,0.07049,0.11212,0.09128,0.04205,0,0,0,0,0,0.00492,0.00492,0.02954,0.07878,0.15763,0.25019,0.31031,0.15688,0.00682,0,0.09529,0.08181,0.26906,0.41865,0.12602,0.00917,0,0,0,0,0.00985,0.02627,0.07032,0.14041,0.29348,0.30138,0.15828,0,0,0,0.13052,0.18411,0.39358,0.25391,0.03789,0,0,0,0,0,0.30097,0.32887,0.33203,0.03813,0,0,0,0,0
6,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.81587,0.11168,0.06681,0.00563,0,0,0,0,0,0,0.0156,0.0156,0.09362,0.24967,0.35561,0.23531,0.03459,0,0,0,0.27951,0.25425,0.42392,0.04233,0,0,0,0,0,0,0.03926,0.1047,0.25583,0.33535,0.24153,0.02333,0,0,0,0,0.54987,0.35255,0.09171,0.00586,0,0,0,0,0,0,0.5372,0.4628,0,0,0,0,0,0,0
7,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.66909,0.05923,0.10772,0.10791,0.05606,0,0,0,0,0,0.00375,0.00375,0.0225,0.05999,0.13099,0.21198,0.34878,0.20918,0.00909,0,0.06284,0.07188,0.18333,0.44963,0.21248,0.01984,0,0,0,0,0.00728,0.01942,0.05205,0.10698,0.25846,0.34475,0.21104,0,0,0,0.10474,0.10988,0.3961,0.33876,0.05052,0,0,0,0,0,0.24636,0.25592,0.4045,0.09321,0,0,0,0,0
8,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.68406,0.07049,0.11212,0.09128,0.04205,0,0,0,0,0,0.00492,0.00492,0.02954,0.07878,0.15763,0.25019,0.31031,0.15688,0.00682,0,0.09529,0.08181,0.26906,0.41865,0.12602,0.00917,0,0,0,0,0.00985,0.02627,0.07032,0.14041,0.29348,0.30138,0.15828,0,0,0,0.13052,0.18411,0.39358,0.25391,0.03789,0,0,0,0,0,0.30097,0.32887,0.33203,0.03813,0,0,0,0,0
9,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.81587,0.11168,0.06681,0.00563,0,0,0,0,0,0,0.0156,0.0156,0.09362,0.24967,0.35561,0.23531,0.03459,0,0,0,0.27951,0.25425,0.42392,0.04233,0,0,0,0,0,0,0.03926,0.1047,0.25583,0.33535,0.24153,0.02333,0,0,0,0,0.54987,0.35255,0.09171,0.00586,0,0,0,0,0,0,0.5372,0.4628,0,0,0,0,0,0,0
10,ethinylestradiol,estradiol,diclofenac,ciprofloxacin,paracetamol,ibuprofen,0,0.66845,0.05864,0.10684,0.10813,0.05793,0,0,0,0,0,0.00309,0.00309,0.01855,0.04947,0.11861,0.17992,0.3344,0.25041,0.04245,0,0.0208,0.04759,0.09935,0.2424,0.48547,0.10439,0,0,0,0,0.00364,0.00972,0.03195,0.07612,0.16031,0.35959,0.32971,0.02895,0,0,0.0365,0.08111,0.11739,0.4022,0.36279,0,0,0,0,0,0.15387,0.15095,0.38454,0.26438,0.04627,0,0,0,0
