API_Name,API_LM_Coeff,API_LM_Interc,Population_Scenarion,Year,WWTP_Removal_Scenario,Norway_Population_mil,API_Sales_Weight_kg,Water_Consumption_ML,PEC_Inf_gL,PEC_Eff_gL,PEC_SW_gL,PNEC_SW_gL,RQ
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2020,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2020,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2020,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2020,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2030,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2030,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2030,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2030,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2040,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2040,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2040,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2040,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2050,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2050,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2050,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2050,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2060,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2060,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2060,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2060,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2070,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2070,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2070,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2070,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2080,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2080,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2080,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2080,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2090,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2090,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2090,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2090,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2100,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,High,2100,0.001 - 0.9,,,,,,,,
