"ProductCode","ProductName","ProductSaleGroup","ATC_code","PackageQuantityValue","PackageQuantityUnit","sYear","PackageAmountSoldValue","PackageAmountSoldUnit","API_Name","API_ConcentrationPerItemValue","API_ConcentrationPerItemUnit","API_AmountPerPackageValue","API_AmountPerPackageUnit","API_AmountSoldValue","API_AmountSoldUnit","API_toxicity","API_PNEC_gL","API_sold","flag","comment"
577675,"Activelle farmagon tab","C","G03FA01",84,"pills",2017,8665,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",727.86,"g/year","1",2.9e-10,"1",NA,NA
577675,"Activelle farmagon tab","C","G03FA01",84,"pills",2018,842,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",70.728,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",1999,25567,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",2147.628,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2000,75184,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",6315.456,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2001,114227,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",9595.068,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2002,131826,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",11073.384,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2003,119359,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",10026.156,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2004,113821,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",9560.964,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2005,99318,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",8342.712,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2006,94124,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",7906.416,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2007,88507,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",7434.588,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2008,84036,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",7059.024,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2009,80349,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",6749.316,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2010,68204,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",5729.136,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2011,51215,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",4302.06,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2012,52384,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",4400.256,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2013,51242.47,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",4304.36748,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2014,53791.42,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",4518.47928,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2015,48790.76,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",4098.42384,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2016,44958.35,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",3776.5014,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2017,30890.25,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",2594.781,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2018,34630.23,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",2908.93932,"g/year","1",2.9e-10,"1",NA,NA
540229,"Activelle tab","C","G03FA01",84,"pills",2019,19238.34,"CountOfPackages","estradiol",0.001,"g/pill",0.084,"g",1616.02056,"g/year","1",2.9e-10,"1",NA,NA
165249,"Almina 28 tab 100/20mcg","C","G03AA07",84,"pills",2016,20,"CountOfPackages","levonorgestrel",1e-4,"g/pill",0.0084,"g",0.168,"g/year","1",1e-11,"1",NA,NA
165249,"Almina 28 tab 100/20mcg","C","G03AA07",84,"pills",2016,20,"CountOfPackages","ethinylestradiol",2e-5,"g/pill",0.00168,"g",0.0336,"g/year","1",3e-11,"1",NA,NA
165249,"Almina 28 tab 100/20mcg","C","G03AA07",84,"pills",2017,92103,"CountOfPackages","levonorgestrel",1e-4,"g/pill",0.0084,"g",773.6652,"g/year","1",1e-11,"1",NA,NA
165249,"Almina 28 tab 100/20mcg","C","G03AA07",84,"pills",2017,92103,"CountOfPackages","ethinylestradiol",2e-5,"g/pill",0.00168,"g",154.73304,"g/year","1",3e-11,"1",NA,NA
165249,"Almina 28 tab 100/20mcg","C","G03AA07",84,"pills",2018,100891,"CountOfPackages","levonorgestrel",1e-4,"g/pill",0.0084,"g",847.4844,"g/year","1",1e-11,"1",NA,NA
