rptMStateKey,aucUwwCode,aucUwwName,aggID,aucAggCode,aucAggName,aucPercEnteringUWWTP,aucMethodPercEnteringUWWTP,aucPercC2T,ReportNetEnvelopeFileId
NO,NO0301.0979.01,Bekkelaget renseanlegg med tilførselstuneller og overløp,,NO-02-016,Oslo,29.09616785,C,,49055
NO,NO1101.0039.01,Hestnes renseanlegg,,NO-11-001,Egersund,89,C,,49055
NO,NO1106.0057.01,Årabrot  avløpsanlegg,,NO-11-003,Haugesund,79.5,C,,49055
NO,NO1119.0013.02,Grødaland renseanlegg,,NO-11-007,Varhaug,90,C,,49055
NO,NO1119.0030.01,Nærbø avløpsrenseanlegg,,NO-11-008,Nærbø,90,C,,49055
NO,NO1120.0023.01,Vik renseanlegg,,NO-11-011,Bryne,89.5,C,,49055
NO,NO1120.0025.01,Bore avløpsrenseanlegg,,NO-11-012,Kleppe/Verdalen,88,C,,49055
NO,NO1127.0012.01,Sentralrenseanlegget for Nord Jæren SNJ,,NO-11-015,Stavanger/Sandnes,79.5,C,,49055
NO,NO1505.0057.01,Grunden,,NO-15-007,Kristiansund,6.306146834,C,,49055
NO,NO1505.0058.01,Dale,,NO-15-007,Kristiansund,11.66637164,C,,49055
NO,NO1505.0060.01,Løkkemyra,,NO-15-007,Kristiansund,9.459220251,C,,49055
NO,NO1505.0061.01,Jonassenskjærva,,NO-15-007,Kristiansund,2.963889012,C,,49055
NO,NO1505.0063.01,Hagelin,,NO-15-007,Kristiansund,63.67947073,C,,49055
NO,NO1505.0068.01,Byskogen,,NO-15-007,Kristiansund,0.924901536,C,,49055
NO,NO1506.0047.01,RA1 Cap Clara,,NO-15-006,Molde,31.72262628,C,,49055
NO,NO1506.0048.01,RA2 Nøisomhed,,NO-15-006,Molde,67.77737372,C,,49055
NO,NO1507.0094.01,RA5 Breivika,,NO-15-008,Ålesund,7.521267401,C,,49055
NO,NO1507.0103.01,RA15 Løvika,,NO-15-008,Ålesund,0.208924095,C,,49055
NO,NO1507.0107.01,RA4 Åse,,NO-15-008,Ålesund,21.82142526,C,,49055
NO,NO1507.0109.01,RA18 Borgundgavlen,,NO-15-008,Ålesund,0.027856546,C,,49055
NO,NO1507.0119.01,U85 Bogneset,,NO-15-008,Ålesund,0.062677228,C,,49055
NO,NO1507.0122.01,U88 Bogneset,,NO-15-008,Ålesund,0.194995822,C,,49055
NO,NO1507.0126.01,U35 Kvennaneset,,NO-15-008,Ålesund,0.073123433,C,,49055
NO,NO1507.0133.01,RA3 Larsgården,,NO-15-008,Ålesund,6.267722835,C,,49055
