API_Name,Year,Total_Sold_kg
amoxicillin,1999,815.42895
amoxicillin,2000,804.42595
amoxicillin,2001,983.87815
amoxicillin,2002,1156.9974499999998
amoxicillin,2003,1236.75045
amoxicillin,2004,1282.2591
amoxicillin,2005,1790.55125
amoxicillin,2006,1985.8071
amoxicillin,2007,1918.4514
amoxicillin,2008,1120.3023
amoxicillin,2009,2364.7377
amoxicillin,2010,2661.0575
amoxicillin,2011,2888.30395
amoxicillin,2012,3047.99395
amoxicillin,2013,2971.18285
amoxicillin,2014,3058.0584
amoxicillin,2015,2964.3568999999998
amoxicillin,2016,2861.50295
amoxicillin,2017,2773.9801
amoxicillin,2018,2693.3555
ciprofloxacin,1999,208.87673
ciprofloxacin,2000,262.994425
ciprofloxacin,2001,304.17786
ciprofloxacin,2002,342.51515500000005
ciprofloxacin,2003,396.653942
ciprofloxacin,2004,429.052779
ciprofloxacin,2005,542.2758005000001
ciprofloxacin,2006,220.51353
ciprofloxacin,2007,240.92679149999998
ciprofloxacin,2008,656.801168
ciprofloxacin,2009,1038.560868
ciprofloxacin,2010,1108.4253205
ciprofloxacin,2011,1150.3663355
ciprofloxacin,2012,1191.3716305
ciprofloxacin,2013,1227.702636
ciprofloxacin,2014,1172.900642
ciprofloxacin,2015,1072.3786365
ciprofloxacin,2016,967.9153375000001
ciprofloxacin,2017,810.8960705000001
ciprofloxacin,2018,753.169644
diclofenac,1999,848.09575
diclofenac,2000,914.891
diclofenac,2001,940.538125
diclofenac,2002,841.85825
diclofenac,2003,790.313625
diclofenac,2004,769.035375
diclofenac,2005,1422.10025
diclofenac,2006,1663.422625
diclofenac,2007,1836.587875
diclofenac,2008,2081.19225
diclofenac,2009,2118.998875
diclofenac,2010,2239.362875
diclofenac,2011,2330.76608
diclofenac,2012,2245.437184
diclofenac,2013,2088.761163
diclofenac,2014,2099.593608
diclofenac,2015,2154.528619
diclofenac,2016,2137.178438
diclofenac,2017,2248.422209
diclofenac,2018,2273.673761
estradiol,1999,14.5961161725
estradiol,2000,18.7104256275
estradiol,2001,22.661673359999998
estradiol,2002,23.8246620675
estradiol,2003,20.6117494575
estradiol,2004,19.3224141675
estradiol,2005,17.1675367425
estradiol,2006,16.318837635
estradiol,2007,15.56775762
estradiol,2008,14.937056872500001
estradiol,2009,14.761516440000001
estradiol,2010,16.7369163
estradiol,2011,16.759197885000003
estradiol,2012,16.750567065
estradiol,2013,16.386918735
estradiol,2014,17.010809249999998
estradiol,2015,16.8519116175
estradiol,2016,16.764894854999998
estradiol,2017,16.3354310625
estradiol,2018,16.24317705
ethinylestradiol,1999,0.33249801375
ethinylestradiol,2000,0.35687665125
ethinylestradiol,2001,0.32339860875
ethinylestradiol,2002,0.29997312449999997
ethinylestradiol,2003,0.51479185725
ethinylestradiol,2004,0.74497788225
ethinylestradiol,2005,0.77655876825
ethinylestradiol,2006,0.825618654
ethinylestradiol,2007,1.27590319125
ethinylestradiol,2008,1.4541347189999998
ethinylestradiol,2009,1.5638889187499998
ethinylestradiol,2010,1.64664819225
ethinylestradiol,2011,1.7562618989999998
ethinylestradiol,2012,1.83844637325
ethinylestradiol,2013,2.24320621875
ethinylestradiol,2014,2.3845923315
ethinylestradiol,2015,2.3693492925
ethinylestradiol,2016,2.33563707675
ethinylestradiol,2017,2.259137838
ethinylestradiol,2018,2.146319559
ibuprofen,1999,12809.75
ibuprofen,2000,14554.1055
ibuprofen,2001,16188.282
ibuprofen,2002,17083.5915
ibuprofen,2003,15528.8855
ibuprofen,2004,17408.974
ibuprofen,2005,22820.443
ibuprofen,2006,27594.48925
ibuprofen,2007,32027.62755
ibuprofen,2008,36427.04165
ibuprofen,2009,38290.04485
ibuprofen,2010,38350.86799
ibuprofen,2011,38557.874130000004
ibuprofen,2012,38295.63647
ibuprofen,2013,38975.07825
ibuprofen,2014,38829.31985
ibuprofen,2015,39070.87893
ibuprofen,2016,39212.14408
ibuprofen,2017,39957.38749
ibuprofen,2018,38012.80344999999
levonorgestrel,1999,0.3878469
levonorgestrel,2000,0.50469615
levonorgestrel,2001,0.48233745
levonorgestrel,2002,0.49563255
levonorgestrel,2003,0.65854845
levonorgestrel,2004,0.7231297499999999
levonorgestrel,2005,0.93911055
levonorgestrel,2006,1.34596335
levonorgestrel,2007,2.30840115
levonorgestrel,2008,2.64703905
levonorgestrel,2009,2.8366743
levonorgestrel,2010,2.96182605
levonorgestrel,2011,3.1828857000000004
levonorgestrel,2012,3.65641125
levonorgestrel,2013,4.0867824
levonorgestrel,2014,4.5831035
levonorgestrel,2015,5.55093095
levonorgestrel,2016,7.28524205
levonorgestrel,2017,7.44177875
levonorgestrel,2018,7.294267550000001
paracetamol,1999,110568.19901000001
paracetamol,2000,111159.2906
paracetamol,2001,114021.79591
paracetamol,2002,118797.68415
paracetamol,2003,125033.37926999999
paracetamol,2004,123020.04684000001
paracetamol,2005,135903.46434
paracetamol,2006,141762.76197999998
paracetamol,2007,151671.66109
paracetamol,2008,158930.13035
paracetamol,2009,166526.23137
paracetamol,2010,170638.55608
paracetamol,2011,184695.92836000002
paracetamol,2012,202276.88723
paracetamol,2013,216511.88572999998
paracetamol,2014,224908.596595
paracetamol,2015,244914.315925
paracetamol,2016,258959.11616499998
paracetamol,2017,268387.30228999996
paracetamol,2018,279361.69996
