STP_Code,STP_Name,STP_Capacity,WaterBodyType,NUTS,County,Treatment_Level
NO0301.0979.01,Bekkelaget renseanlegg med tilførselstuneller og overløp,300000,Coastal water,NO01,Oslo og Akershus,Tertiary
NO3019.0024.01,Søndre Follo renseanlegg,25000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3021.0016.01,Nordre Follo renseanlegg,56000,Coastal water,NO01,Oslo og Akershus,Tertiary
NO3022.0019.01,Frogn renseanlegg,24000,Coastal water,NO01,Oslo og Akershus,Tertiary
NO3023.0015.01,Buhrestua renseanlegg,9030,Coastal water,NO01,Oslo og Akershus,Tertiary
NO3025.0059.01,Sentralrenseanlegg Vest (VEAS),700000,Coastal water,NO01,Oslo og Akershus,Tertiary
NO3026.0021.02,Bjørkelangen sentralrenseanlegg,10000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3026.0022.01,Løken renseanlegg,4000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3028.0019.01,Flateby renseanlegg,4000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3028.0038.01,Kirkebygda sentralrenseanlegg,12500,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3030.0078.01,NRA (Nedre Romerike avløpsanlegg),150000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3030.0241.01,Midtre Romerike avløpsselskap IKS (MIRA),63000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3031.0035.01,Rotnes renseanlegg,10000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3031.0036.01,Slattum renseanlegg,7500,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3031.0037.01,Åneby renseanlegg,7500,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3033.0031.01,Kløfta renseanlegg,12000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3033.0071.01,Gardermoen sentralrenseanlegg,75000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3034.0026.01,Fjellfoten renseanlegg,30000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3035.0025.01,Bårlidalen renseanlegg,35000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3037.0003.01,Hurdal Sentrum renseanlegg,2300,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3053.0011.01,Jevnaker renseanlegg,9900,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3054.0009.01,Harestua renseanlegg,6000,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3054.0010.01,Volla renseanlegg,3900,Freshwater,NO01,Oslo og Akershus,Tertiary
NO3401.0051.02,Kongsvinger renseanlegg,15000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3405.0033.01,Lillehammer renseanlegg,100000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3407.0119.02,Rambekk renseanlegg,45000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3411.0086.01,Moelv renseanlegg,28500,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3411.0233.01,Nes renseanlegg,5000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3413.0082.01,HIAS renseanlegg,165000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3414.0018.01,Sand renseanlegg,3000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3415.0029.01,Skarnes renseanlegg,6600,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3416.0016.01,Skotterud renseanlegg,2800,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3416.0017.01,Magnor renseanlegg,2800,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3417.0023.01,Kirkenær renseanlegg,3000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3418.0037.01,Flisa renseanlegg,8100,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3419.0015.01,Våler renseanlegg,4200,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3420.0049.01,Elverum renseanlegg,42700,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3421.0045.01,"Innbygda renseanlegg, Mosanden",32000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3422.0018.01,Rena rensepark,5300,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3426.0013.01,Tolga renseanlegg,2529,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3427.0041.01,Tynset renseanlegg,3400,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3428.0014.01,Alvdal renseanlegg,9500,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3431.0009.01,Dombås renseanlegg,3700,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3431.0011.01,Dovre renseanlegg,3000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3432.0007.01,Lesja renseanlegg (Hosetmoen),3000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3432.0008.01,Bjorli  renseanlegg,3000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3434.0005.01,Fossbergom renseanlegg,3000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3435.0004.01,Vågåmo renseanlegg,3400,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3436.0008.01,Vinstra renseanlegg,5300,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3437.0016.01,Otta renseanlegg,14000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3439.0009.01,Ringebu kloakkrenseanlegg,3450,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3439.0010.01,Fåvang renseanlegg,8500,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3439.0011.01,Frya avløpsanlegg,9000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3440.0009.01,Tretten renseanlegg,6400,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3442.0013.01,Lena renseanlegg,4150,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3442.0015.01,Kapp renseanlegg,6200,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3442.0017.01,Skreia renseanlegg,12800,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3443.0016.01,Breiskallen renseanlegg,14500,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3446.0017.01,Brandbu renseanlegg,9200,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3447.0008.01,Hov renseanlegg,6200,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3448.0009.01,Dokka renseanlegg,6700,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3451.0008.01,Aurdal renseanlegg,6000,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3451.0009.01,Fagernes-Leira renseanlegg,7500,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3452.0005.01,Røn renseanlegg,2100,Freshwater,NO02,Hedmark og Oppland,Tertiary
NO3452.0006.01,Vaset renseanlegg,3197,Freshwater,NO02,Hedmark og Oppland,Tertiary
