Municipality,Pop_Connected_WWTP_>50PE,Pop_Connected_WWTP_>50PE_Chem_Treat,Pop_Connected_WWTP_>50PE_BioChem_Treat,Pop_Connected_WWTP_>50PE_BioChemMechNat_Treat,Pop_Connected_WWTP_>50PE_No_Treat
3001 Halden,26459,NA,26159,300,NA
3002 Moss,49418,49418,NA,NA,NA
3003 Sarpsborg,54459,54419,40,NA,NA
3004 Fredrikstad,80126,80036,60,30,NA
3005 Drammen,101574,49061,52513,NA,NA
3006 Kongsberg,22779,22221,89,469,NA
3007 Ringerike,24245,2852,21320,73,NA
3011 Hvaler,4474,4474,NA,NA,NA
3012 Aremark,776,NA,776,NA,NA
3013 Marker,2070,NA,2070,NA,NA
3014 Indre Østfold,39204,26109,13095,NA,NA
3015 Skiptvet,1920,NA,1920,0,NA
3016 Rakkestad,4741,NA,4741,NA,NA
3017 Råde,6548,6548,NA,0,NA
3018 Våler (Østfold),4891,3856,1035,NA,NA
3019 Vestby,19460,19460,NA,NA,NA
3020 Nordre Follo,47169,NA,47169,NA,NA
3021 Ås,19045,13330,5715,NA,NA
3022 Frogn,15614,13953,1661,NA,NA
3023 Nesodden,16950,13270,3680,NA,NA
3024 Bærum,127525,NA,127525,NA,NA
3025 Asker,90489,16796,73343,350,NA
3026 Aurskog-Høland,12428,3443,8985,NA,NA
3027 Rælingen,18520,NA,18520,0,NA
3028 Enebakk,9560,3681,5879,NA,NA
3029 Lørenskog,42740,NA,42740,NA,NA
3030 Lillestrøm,84382,917,83465,NA,NA
3031 Nittedal,14816,12900,1916,NA,NA
3032 Gjerdrum,6555,NA,6555,NA,NA
3033 Ullensaker,38489,10090,28369,30,NA
3034 Nes (Akershus),17295,NA,17295,NA,NA
3035 Eidsvoll,22046,1300,20746,NA,NA
3036 Nannestad,13151,450,12601,100,NA
3037 Hurdal,1220,1220,NA,NA,NA
3038 Hole,4344,4174,170,NA,NA
3039 Flå,2188,435,1100,653,NA
3040 Nes (Buskerud),2393,2093,NA,300,NA
3041 Gol,2975,2895,40,40,NA
3042 Hemsedal,2129,0,1615,514,NA
3043 Ål,3737,440,2857,440,NA
3044 Hol,3197,256,2851,90,NA
3045 Sigdal,1253,851,398,4,NA
3046 Krødsherad,1769,1769,NA,NA,NA
3047 Modum,9951,3750,6200,1,NA
3048 Øvre Eiker,16499,15500,999,NA,NA
3049 Lier,23678,21507,2121,50,NA
3050 Flesberg,2162,624,63,1475,NA
3051 Rollag,450,NA,0,450,NA
3052 Nore og Uvdal,1390,310,1020,60,NA
3053 Jevnaker,6100,6100,NA,NA,NA
3054 Lunner,5576,NA,5576,NA,NA
0301 Oslo,698013,3,698004,6,NA
3401 Kongsvinger,13063,12809,254,NA,NA
3403 Hamar,29889,NA,29889,NA,NA
3405 Lillehammer,25852,NA,25852,NA,NA
3407 Gjøvik,26831,26730,NA,101,NA
3411 Ringsaker,24072,2277,21710,85,NA
3412 Løten,5509,0,5505,4,NA
3413 Stange,13735,NA,13731,4,NA
3414 Nord-Odal,3362,NA,3362,NA,NA
3415 Sør-Odal,3997,3997,NA,NA,NA
3416 Eidskog,2872,2533,238,101,NA
3417 Grue,2104,1693,249,162,NA
3418 Åsnes,4574,4443,131,NA,NA
3419 Våler (Hedmark),1780,1700,80,NA,NA
3420 Elverum,17845,NA,17845,NA,NA
3421 Trysil,2635,1071,1564,NA,NA
3422 Åmot,2173,NA,184,1989,NA
3423 Stor-Elvdal,3165,NA,105,3060,NA
3424 Rendalen,768,43,410,315,NA
3425 Engerdal,865,NA,805,60,NA
3426 Tolga,1219,NA,843,376,NA
3427 Tynset,2867,110,2757,NA,NA
3428 Alvdal,1310,1310,NA,NA,NA
3429 Folldal,1169,NA,NA,1169,NA
3430 Os,1050,1050,NA,NA,NA
3431 Dovre,1538,NA,1515,23,NA
3432 Lesja,1078,NA,169,909,NA
3433 Skjåk,929,NA,261,668,NA
3434 Lom,1403,95,1306,2,NA
3435 Vågå,2923,NA,2923,0,NA
3436 Nord-Fron,7949,4552,3390,7,NA
3437 Sel,3887,276,3611,0,NA
3438 Sør-Fron,1609,29,1550,30,NA
3439 Ringebu,2132,NA,2123,9,NA
3440 Øyer,3384,NA,3384,0,NA
3441 Gausdal,4004,NA,4004,NA,NA
3442 Østre Toten,9830,NA,9830,NA,NA
3443 Vestre Toten,11290,10450,840,NA,NA
3446 Gran,6915,81,6834,NA,NA
3447 Søndre Land,3398,NA,3392,6,NA
3448 Nordre Land,2977,2800,177,NA,NA
3449 Sør-Aurdal,1280,NA,930,350,NA
