"scenario_number","county","Year_and_Population_Growth","WWT_Scenario","Risk_Type","API_Name","Risk_Bin","Probability"
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","-inf-0",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","0-1",0.11633
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","1-3",0.13133
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","3-10",0.24588
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","10-30",0.28883
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","30-100",0.21763
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","100-300",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","300-1000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","1000-3000",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","estradiol","3000-inf",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","-inf-0",0
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","0-1",0.00375
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","1-3",0.00375
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","3-10",0.0225
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","10-30",0.05999
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","30-100",0.13099
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","100-300",0.21198
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","300-1000",0.34878
1,"Troms & Finnmark (Rural)","2020 & None","Baseline","API_RQ_FW","ethinylestradiol","1000-3000",0.20918
